func_name,sample_id,k0_ires,k1_ires,k2_ires,k3_ires,k4_ires,k5_ires,k6_ires,k7_ires,k8_ires,k9_ires,k10_ires
BootstrapTools.parseDynamicProperties,26,0.9704408943449301,0.8638527393341064,0.8891206383705139,0.8521364209310642,0.8891206383705139,0.8816207647323608,0.8938782811164856,0.8865895867347717,0.8866087198257446,0.9605628252029419,0.9661703109741211
S3URI.getChild,47,0.9399789949589421,0.9500126838684082,0.960384726524353,0.9462075620242165,0.9663353562355042,0.9654080867767334,0.9661877751350403,0.9522646069526672,0.9462032914161682,0.9628266096115112,0.9627742171287537
SimpleUnit.makeUnit,24,0.9468874638382799,0.892662525177002,1.0,0.9532110935939581,0.9363034963607788,0.8889276385307312,0.9369316101074219,0.9369316101074219,0.9363034963607788,0.934551477432251,0.9346415996551514
GeneralizedLogisticAlternateDistribution.pdf,58,0.8866601187087615,0.9012203812599182,0.9163068532943726,0.8956258564937013,0.9034824967384338,0.9159243106842041,0.9159243106842041,0.9159243106842041,0.9163068532943726,0.9378318190574646,0.9408380389213562
QueueContainer.txnCommitPollBackup,20,0.8546966359367507,0.9229987859725952,0.9453150033950806,0.8877949074483475,0.9569622874259949,0.9452375769615173,0.9452375769615173,0.9452375769615173,0.9453139305114746,0.962371289730072,0.9473931789398193
IoUtil.toStream,38,0.9623846072273241,0.9622749090194702,0.9847191572189331,0.9569835556142052,0.9617918729782104,0.9622749090194702,0.9873761534690857,0.98480224609375,0.9847191572189331,0.9566535353660583,0.9626019597053528
GridVariable.showMissingSummary,67,0.925836743024944,0.913912832736969,0.9059616923332214,0.8976026589881093,0.9023091793060303,0.8857962489128113,0.9101736545562744,0.9035732746124268,0.9618373513221741,0.9618373513221741,0.987709105014801
ClientConfig.addNearCacheConfig,76,0.9096006138409533,0.9060149788856506,0.9055144190788269,0.9270580143540091,0.9060149788856506,0.9055144190788269,0.9093708395957947,0.9093708395957947,1.0000001192092896,1.0000001192092896,0.9055144190788269
JsonUtil.getJsonFriendlyString,29,0.9254649042737573,0.9236376285552979,0.9228997230529785,0.9203544080235904,0.9238210320472717,0.9236376285552979,0.9248861074447632,0.9236376285552979,0.9228997230529785,0.9248861074447632,0.9257270097732544
ScanProgressDialog.getJScrollPane,35,0.7819924248019737,0.9361632466316223,0.9345167279243469,0.9420848701276552,0.922456681728363,0.9267280101776123,0.935127854347229,0.9267280101776123,0.9315736889839172,0.935127854347229,0.9223144054412842
DownloadController.setup,73,0.8655687501106126,0.8518231511116028,0.8921782970428467,0.8545022778793891,0.8903670907020569,0.8196845054626465,0.8903670907020569,0.8903670907020569,0.8285003900527954,0.8483048677444458,0.8483048677444458
Sftp.lsFiles,56,0.7112981007138305,0.9927600026130676,0.9926803112030029,0.9998799332933589,0.9927600026130676,0.9926803112030029,0.5505053997039795,0.9927600026130676,0.9926803112030029,0.9926803112030029,0.9926803112030029
StereoElementFactory.interpretProjections,13,0.912958347197456,0.8897464275360107,0.9128088355064392,0.8969103531612348,0.9413572549819946,0.9407602548599243,0.9409241080284119,0.9407602548599243,0.9413572549819946,0.9407602548599243,0.9413572549819946
FileAppender.append,90,0.8636239236967035,0.9649655818939209,0.9649655818939209,0.9024602765991648,0.9649655818939209,0.9650887250900269,0.9650887250900269,0.9649655818939209,0.9649655818939209,0.9650887250900269,0.9649655818939209
EigenvalueDecomposition.getD,52,0.9492118114127136,0.9484791159629822,0.9458612203598022,0.9474104706751855,0.9480741024017334,0.956866979598999,0.9480741024017334,0.9466210007667542,0.9458612203598022,0.956866979598999,0.9472500681877136
Main.error,77,0.6635499519789574,0.8212853074073792,0.8949278593063354,0.8454954274447363,0.8774732947349548,0.9037252068519592,0.8912416696548462,0.8952138423919678,0.9214538931846619,0.9057930707931519,0.906665027141571
Types.TUPLE,43,0.948453907448743,0.999911367893219,1.0,0.9453742858399539,0.9302618503570557,0.9317141771316528,0.9328323602676392,0.9309372901916504,0.9989656209945679,0.9341346025466919,0.9989656209945679
PoissonDistribution.logpmf,23,0.891581192811198,0.9622507691383362,0.902204155921936,0.9763323756491942,0.9502171874046326,0.9616155624389648,0.9663963913917542,0.9730206727981567,0.9691134691238403,0.9622752070426941,0.9672881364822388
HttpBody.setCharset,12,0.881364565074978,0.8944506049156189,0.8756779432296753,0.8887285846374932,0.8784967660903931,0.893083393573761,0.8997419476509094,0.8786441087722778,0.8935708403587341,0.8786441087722778,0.8836073875427246
JavacParser.basicType,40,0.8158692684553818,0.8231092095375061,0.7800379395484924,0.8035249385878347,0.7610355615615845,0.7580479383468628,0.7584775686264038,0.7584775686264038,0.7600939273834229,0.7607597708702087,0.7777550220489502
CmsSearchTab.removeParameter,28,0.8823692306004526,0.8972979784011841,0.9800899028778076,0.9773599235647316,0.9800899028778076,0.9805579781532288,0.8998963236808777,0.9386223554611206,0.8736564517021179,0.9805579781532288,0.9800899028778076
SparkEMRClient.createCluster,37,0.674386318993863,0.9147198796272278,0.8036501407623291,0.8009956558224479,0.9163634777069092,0.8501318097114563,0.8488893508911133,0.8948811888694763,0.8395280241966248,0.870025634765625,0.8315828442573547
MetaClassImpl.getMethods,33,0.932776200491322,0.9627137184143066,0.9675981998443604,0.9573081793580965,0.9505804777145386,0.9613445997238159,0.9592633843421936,0.970233678817749,0.9483373165130615,0.9703696966171265,0.8986151218414307
